Accession	IFN_Virus.IFN_ZscRatio	IFN_Virus.IFN_qvalue	IFN_Virus.IFN_statVariant
F8WEF5	-4.120454144	0.000489431	VARIANT
Q8IY26	-4.062721979	0.000213322	VARIANT
A0A3B3ITK7	-4.043477925	1.58453e-05	VARIANT
P30530	-4.02423387	4.48448e-10	VARIANT
Q9BYX4	-4.004989815	1.44041e-09	VARIANT
Q08380	-4.004989815	1.43353e-06	VARIANT
O75683	-3.851037377	1.71917e-05	VARIANT
Q12872	-3.793305213	0.00048251	VARIANT
Q2TB10	-3.716328993	8.50867e-05	VARIANT
P20591	-3.697084939	2.00036e-08	VARIANT
Q9BQD7	-3.697084939	0.003046021	VARIANT
Q9NZV5	-3.58162061	0.008345563	VARIANT
E9PJM3	-3.562376555	6.1903e-05	VARIANT
O95786	-3.523888446	1.24119e-06	VARIANT
P31151	-3.446912227	0.008870645	VARIANT
Q96DX8	-3.389180062	0.000261749	VARIANT
Q9BYK8	-3.331447898	6.47868e-07	VARIANT
Q9H7L9	-3.292959788	0.000980267	VARIANT
P09601	-3.273715733	0.000898141	VARIANT
C9JWG4	-3.235227624	0.001198608	VARIANT
Q9Y508	-3.215983569	0.000593106	VARIANT
P02533	-3.215983569	5.68106e-06	VARIANT
Q9NQS7	-3.215983569	0.000161597	VARIANT
Q03518	-3.196739514	9.24579e-07	VARIANT
Q587I9	-3.119763295	0.001064009	VARIANT
E9PB61	-3.062031131	4.61812e-05	VARIANT
A0A2R8YH03	-3.023543021	0.001380725	VARIANT
A2ACR1	-2.985054912	0.003735322	VARIANT
Q99496	-2.965810857	0.000558315	VARIANT
Q10589	-2.946566802	8.13764e-05	VARIANT
Q5VUA4	-2.946566802	0.002164355	VARIANT
Q9NPP4	-2.946566802	0.000444814	VARIANT
Q15672	-2.908078693	0.005387512	VARIANT
Q8IVG5	-2.908078693	0.000615656	VARIANT
P0DPB6	-2.908078693	0.006215248	VARIANT
Q8TDB6	-2.869590583	7.90384e-05	VARIANT
Q92522	-2.869590583	0.000185438	VARIANT
Q08AF3	-2.869590583	0.005682612	VARIANT
Q9Y2H6	-2.850346528	0.000865714	VARIANT
P41218	-2.831102474	2.76834e-05	VARIANT
O15162	-2.811858419	0.001345294	VARIANT
A0A0A0MTR7	-2.773370309	4.85758e-05	VARIANT
X5CMH5	-2.754126254	4.88731e-05	VARIANT
Q14142	-2.7348822	0.002200497	VARIANT
Q9BUM1	-2.69639409	0.001915539	VARIANT
Q8WXG1	-2.69639409	0.001952096	VARIANT
Q96A46	-2.69639409	0.001738843	VARIANT
P19525	-2.600173816	0.000489431	VARIANT
Q96QD9	-2.580929761	0.004848547	VARIANT
P17096	-2.580929761	0.000114612	VARIANT
P09012	-2.580929761	0.000217674	VARIANT
H0YHG0	-2.523197597	0.001140284	VARIANT
Q9H0J9	-2.484709487	0.00253773	VARIANT
Q86YP4	-2.407733268	0.001326015	VARIANT
P07305	-2.369245159	0.000898141	VARIANT
P23497	-2.369245159	0.000899121	VARIANT
Q99684	-2.350001104	0.004654594	VARIANT
P16403	-2.330757049	0.001022972	VARIANT
Q99590	-2.311512994	0.003051155	VARIANT
Q00403	-2.311512994	0.001146842	VARIANT
A0A140T998	-2.29226894	0.00541034	VARIANT
A0A3B3ITT5	-2.273024885	0.002372645	VARIANT
X6R4W8	-2.273024885	0.001298715	VARIANT
J3KPG5	-2.273024885	0.005256941	VARIANT
P13647	-2.25378083	0.003347773	VARIANT
O14657	-2.215292721	0.005473974	VARIANT
Q9H1C4	-2.176804611	0.008726746	VARIANT
O00182	-2.176804611	0.009222863	VARIANT
P35030	-2.157560556	0.008378413	VARIANT
P29590	-2.119072447	0.004848734	VARIANT
P10316	-2.099828392	0.004008515	VARIANT
Q9Y3B9	-2.061340282	0.008742992	VARIANT
P11387	-2.061340282	0.005580912	VARIANT
Q9NWH9	-2.022852173	0.007085207	VARIANT
P55265	-2.022852173	0.006598473	VARIANT
P61769	-1.984364063	0.00542873	VARIANT
Q9NWZ3	2.53798881	0.004300643	VARIANT
Q9Y4K3	2.691941248	0.002501263	VARIANT
Q01518	2.768917467	0.000296929	VARIANT
Q58FF6	2.999846125	0.000634925	VARIANT
E9PJD7	3.057578289	0.000224409	VARIANT
P49770	3.076822344	0.008265401	VARIANT
H0YIN8	3.365483166	0.003335376	VARIANT
Q9ULP9	3.403971275	0.000432133	VARIANT
A0A140TA32	3.673388042	8.89517e-05	VARIANT
O00762	3.9043167	6.06217e-06	VARIANT
D6RAC5	3.981292919	0.000818754	VARIANT
Q8TAD8	4.635590781	1.30681e-05	VARIANT
C9JIR6	4.924251603	1.76391e-05	VARIANT
E7ENY0	4.981983767	1.95221e-07	VARIANT
Q9P0T7	5.097448096	6.74184e-05	VARIANT
Q6IA86	5.655525685	4.07426e-07	VARIANT
K7EJF0	6.771680862	4.01125e-09	VARIANT
Q96C01	9.369628257	1.86108e-15	VARIANT
