Accession	IFN_Virus.Virus_ZscRatio	IFN_Virus.Virus_qvalue	IFN_Virus.Virus_statVariant
Q13950	-2.996440788	0.002496485	VARIANT
O43809	-2.387338407	4.56194e-05	VARIANT
H3BMM9	-2.372110848	2.09296e-05	VARIANT
E7EQ64	-3.453267574	5.3355e-11	VARIANT
Q15007	-2.813710074	0.000127074	VARIANT
H3BT71	-2.524386443	1.40492e-07	VARIANT
P13645-CONT	-2.554841562	6.91828e-08	VARIANT
O43660	-2.189380133	0.000230757	VARIANT
Q96QC0	-2.463476205	0.000496507	VARIANT
Q8IYB3	-3.742591205	5.2104e-11	VARIANT
E9PK91	-3.620770728	1.6845e-13	VARIANT
P04264-CONT	-2.311200609	1.82529e-06	VARIANT
O43395	-2.006649419	0.000419375	VARIANT
P56270	-2.752799836	0.008903008	VARIANT
Q9Y2W1	-3.955777038	2.71157e-15	VARIANT
Q9H582	-2.174152574	0.005485815	VARIANT
P42696	-2.554841562	2.96399e-05	VARIANT
Q96T23	-2.29597305	0.002538125	VARIANT
Q13111	-2.128469895	0.008839297	VARIANT
Q7Z7N9	-2.265517931	0.005529089	VARIANT
O60832	-2.250290371	4.74916e-05	VARIANT
P98175	-1.991421859	0.008278165	VARIANT
Q9ULL5	-3.118261264	0.004002134	VARIANT
Q92766	-2.676662038	0.000299979	VARIANT
J3KTL2	-2.29597305	3.47406e-06	VARIANT
Q9H0E3	-2.798482514	0.00472561	VARIANT
Q7L4I2	-5.463305431	8.41447e-06	VARIANT
Q9H307	-2.113242336	6.43988e-05	VARIANT
Q6NZY4	-2.052332098	0.00722394	VARIANT
P55081	-3.468495133	8.27166e-08	VARIANT
Q6UN15	-2.356883288	1.88948e-05	VARIANT
P35527-CONT	-2.646206919	6.16681e-08	VARIANT
Q9H7B2	-1.991421859	0.002798724	VARIANT
Q8WXI9	-2.265517931	0.000161719	VARIANT
Q9NSI2	-2.539614002	0.007108168	VARIANT
P46013	-2.006649419	7.77492e-05	VARIANT
Q8N511	4.130057069	0.000277679	VARIANT
Q9UKV3	-2.493931324	1.58044e-05	VARIANT
Q8N6S5	4.069146831	1.04611e-07	VARIANT
Q5SSJ5	-2.174152574	1.53843e-05	VARIANT
Q16778	-2.098014776	2.97796e-05	VARIANT
E7ERS3	-2.326428169	0.000446067	VARIANT
Q92618	-2.539614002	0.000498682	VARIANT
Q5TEC6	-3.392357336	0.00161101	VARIANT
Q9P031	-3.042123467	0.00411596	VARIANT
O00268	-2.28074549	0.002117503	VARIANT
A0A024RAC6	-3.529405371	0.007313602	VARIANT
Q9Y3A2	-2.676662038	0.000560274	VARIANT
H0YFY6	-2.448248645	0.002143794	VARIANT
H0Y993	-2.265517931	0.000479817	VARIANT
Q01826	-2.158925014	6.14401e-05	VARIANT
Q9UIS9	-4.473514062	7.18499e-10	VARIANT
O75475	-2.905075431	7.63181e-08	VARIANT
E9PIN5	-3.483722693	0.001057135	VARIANT
P06748	-2.981213228	6.69643e-10	VARIANT
P49750	-2.341655728	1.88948e-05	VARIANT
A0A3F2YNW7	-2.235062812	0.005421494	VARIANT
Q9BVJ6	-2.676662038	0.000124207	VARIANT
Q16777	-2.630979359	7.24478e-08	VARIANT
Q9BTA9	-2.646206919	0.00064124	VARIANT
Q9P0M6	-2.372110848	1.76129e-05	VARIANT
P33240	-1.9761943	0.001724861	VARIANT
Q96QV6	-2.691889598	3.46049e-08	VARIANT
Q9BTD8	-2.143697455	0.003179579	VARIANT
Q71UI9	-2.722344717	2.60169e-08	VARIANT
Q01831	-2.661434478	0.001053244	VARIANT
A0A2R8Y855	-2.098014776	0.000343573	VARIANT
Q8IWZ8	-3.468495133	0.001010861	VARIANT
P62805	-2.646206919	6.01644e-08	VARIANT
Q8NCN2	-2.783254955	0.008770439	VARIANT
O75367	-1.991421859	8.675e-05	VARIANT
Q14676	-1.991421859	0.009207384	VARIANT
Q14137	2.272294807	0.00021235	VARIANT
O96028	-2.265517931	0.00628265	VARIANT
Q9GZL7	2.135246772	0.001010861	VARIANT
I3L3Y9	-5.052161324	3.12e-07	VARIANT
Q99879	-2.402565967	1.04786e-06	VARIANT
Q9NRR5	-2.174152574	0.003505205	VARIANT
A0A0C4DFL8	-5.371940074	4.15264e-08	VARIANT
Q9BSR8	4.008236593	2.36678e-06	VARIANT
P08670	2.013426295	0.002204462	VARIANT
A0A0U1RR22	-3.346674657	7.87001e-05	VARIANT
Q14331	-5.508988109	3.93641e-10	VARIANT
F8W038	-2.493931324	0.004274465	VARIANT
Q9H0E9	-5.49376055	5.35272e-07	VARIANT
P28799	3.262086176	0.000147224	VARIANT
Q8ND04	3.962553914	0.000746421	VARIANT
P27540	-5.265347157	1.09735e-05	VARIANT
X6RHD7	-3.498950252	0.001715302	VARIANT
P61086	3.673230283	0.000331947	VARIANT
P36543	-3.148716383	2.08547e-05	VARIANT
Q96EX1	4.373698021	0.000209402	VARIANT
Q9UJY4	2.698666474	0.003539855	VARIANT
Q14232	3.246858617	0.001301192	VARIANT
P62273	3.962553914	6.241e-08	VARIANT
Q5T123	8.972420998	2.71157e-15	VARIANT
Q6P161	3.185948379	0.000852531	VARIANT
